,Species,dataset,r.max,R,comp,Sp count
35,Dactyliosolen fragilissimus,"Edwards et al., 2016",1.016168361,2.300592652,0.434670605,38
57,Diacronema lutheri,"Edwards et al., 2016",0.627525171,8.702940611,0.114903691,39
98,Dictyosphaerium ehrenbergianum,"Narwani et al., 2015",1.183461,0.941612,1.062008556,40
13,Dictyosphaerium pulchellum,"Edwards et al., 2016",1.57887464,2.622174438,0.381362882,41
99,Elakatothrix viridis,"Narwani et al., 2015",0.5076739,0.999903,1.000097009,42
71,Eudorina elegans,"Levasseur et al., 2025",1.190023462,3.096067146,0.322990411,43
72,Fistulifera saprophila,"Levasseur et al., 2025",1.175826153,5.472868085,0.182719551,44
37,Fragilaria barbararum,"Edwards et al., 2016",1.148251416,0.322871545,3.097206975,45
14,Fragilaria bidens,"Edwards et al., 2016",0.992931426,2.257786298,0.442911714,46
20,Fragilaria crotonensis,"Edwards et al., 2016",0.689270369,6.546441985,0.152754733,47
32,Fragilaria crotonensis,"Edwards et al., 2016",0.598746266,4.666528938,0.214292039,47
73,Fragilaria crotonensis,"Levasseur et al., 2025",0.491195369,2.197170597,0.455130795,47
100,Gloeomonas kupfferi,"Narwani et al., 2015",0.3395763,1.60962,0.621264646,48
61,Kirchneriella_subcapitata,"Lewington-Pearce et al., 2019",0.181089625,26.44172614,0.037819014,49
74,Lagerheimia subsalsa,"Levasseur et al., 2025",1.481443646,2.300204512,0.434743952,50
52,Leptocylindricus danicus,"Edwards et al., 2016",2.281111411,0.962558369,1.038898037,51
75,Messastrum gracile,"Levasseur et al., 2025",1.730680177,1.994123729,0.501473397,52
3,Micractinium pusillum,"Edwards et al., 2016",0.633620516,5.17248107,0.193330819,53
5,Microcystis flos-aquae,"Edwards et al., 2016",2.149794662,1.932546533,0.517451965,54
43,Microcystis ichthyoblabe,"Edwards et al., 2016",1.419593843,2.688396302,0.371968969,55
62,Microcystis_aeruginosa,"Lewington-Pearce et al., 2019",0.489981139,16.04719151,0.0623162,56
76,Microcystis viridis,"Levasseur et al., 2025",1.330628748,0.583910526,1.712591151,57
102,Monoraphidium arcuatum,"Narwani et al., 2015",1.038019,0.380897,2.625381665,58
49,Monoraphidium contortum,"Edwards et al., 2016",0.885690506,5.204158483,0.192154025,59
15,Monoraphidium minutum,"Edwards et al., 2016",1.978043885,4.699952987,0.212768086,60
101,Monoraphidium minutum,"Narwani et al., 2015",1.268607,0.748452,1.336091025,60
44,Nannochloropsis oceanica,"Edwards et al., 2016",2.028097643,1.191212901,0.839480499,61
27,Nitzschia cylindrus,"Edwards et al., 2016",0.575573523,14.12805532,0.07078115,62
28,Nitzschia kerguelensis,"Edwards et al., 2016",0.604800717,6.05037744,0.165278945,63
77,Nitzschia paela (C ),"Levasseur et al., 2025",2.356329606,1.35501529,0.737999052,64
78,Nitzschia paela (G),"Levasseur et al., 2025",2.466109335,2.257562559,0.44295561,64
29,Nitzschia turgiduloides,"Edwards et al., 2016",0.545703577,6.937630878,0.144141425,65
54,Ochromonas sp.,"Edwards et al., 2016",0.442361314,15.78625015,0.063346266,66
50,Oocystella mongolica,"Edwards et al., 2016",0.346457372,13.11758651,0.076233536,67
103,Oocystis parva,"Narwani et al., 2015",0.7220038,1.56033,0.640890068,68
104,Oocystis polymorpha ,"Narwani et al., 2015",1.381854,0.477272,2.095241288,69
105,Oocystis solitaria,"Narwani et al., 2015",0.6964549,2.44251,0.409414905,70
79,Oocystis sp.,"Levasseur et al., 2025",1.026265667,4.692369173,0.213111962,71
106,Pandorina charkowiensis,"Narwani et al., 2015",0.7187422,1.53973,0.649464517,72
16,Pediastrum boryanum,"Edwards et al., 2016",1.36213511,3.735022987,0.267735969,73
107,Pediastrum boryanum,"Narwani et al., 2015",0.6473504,0.489869,2.041362078,73
108,Pediastrum duplex,"Narwani et al., 2015",0.6738454,2.10924,0.474104417,74
109,Pediastrum tetras,"Narwani et al., 2015",0.8572004,0.811073,1.232934643,75
63,Pediastrum_boryanum,"Lewington-Pearce et al., 2019",0.673601383,6.223369445,0.160684659,76
80,Pediastrum boryanum,"Levasseur et al., 2025",1.761884173,1.463952672,0.683082192,76
53,Phaeocystis pouchetii,"Edwards et al., 2016",1.861538044,4.368728332,0.228899562,77
24,Phaeodactylum tricornutum,"Edwards et al., 2016",1.887836244,2.356687603,0.424324378,78
110,Planktosphaeria botryoides,"Narwani et al., 2015",1.584183,0.615952,1.62350313,79
6,Planktothrix agardhii,"Edwards et al., 2016",2.000128638,0.780573773,1.281108891,80
47,Planktothrix agardhii,"Edwards et al., 2016",0.528757666,4.242725979,0.235697522,80
45,Pseudochattonella farcimen,"Edwards et al., 2016",0.846301795,8.228467952,0.121529306,81
51,Pseudodidymocystis planctonica,"Edwards et al., 2016",0.795923361,9.522920455,0.105009803,82
111,Quadrigula closterioides,"Narwani et al., 2015",0.3985955,1.26388,0.791214356,83
112,Radiococcus polycoccus,"Narwani et al., 2015",0.7514775,1.21754,0.821328252,84
36,Rhizosolenia fragilissima,"Edwards et al., 2016",0.978461793,1.996285675,0.500930309,85
34,Rhodomonas salina,"Edwards et al., 2016",1.761251159,0.623744687,1.603220068,86
113,Scenedesmus acuminatus,"Narwani et al., 2015",1.082324,2.3041,0.434008941,87
81,Scenedesmus arcuatus var. Platydiscus,"Levasseur et al., 2025",1.587320179,1.69792291,0.58895489,88
82,Scenedesmus armatus,"Levasseur et al., 2025",1.398065859,1.344623077,0.743702839,89
17,Scenedesmus crassus,"Edwards et al., 2016",1.997745662,3.222716538,0.310297225,90
18,Scenedesmus quadricauda,"Edwards et al., 2016",1.951133268,3.107607578,0.321790952,91
65,Scenedesmus_acuminatus,"Lewington-Pearce et al., 2019",0.684586996,3.123832189,0.320119629,92
114,Selenastrum capricornutum,"Narwani et al., 2015",1.214062,0.509584,1.962385004,93
9,Selenastrum minutum,"Edwards et al., 2016",1.737654781,5.116276402,0.195454647,94
59,Skeletonema costatum,"Edwards et al., 2016",1.44272629,4.760508359,0.210061599,95
115,Sphaerocystis schroeteri,"Narwani et al., 2015",0.5980179,1.051,0.951474786,96
116,Spondylosium planum,"Narwani et al., 2015",0.4304931,3.19772,0.312722815,97
117,Staurastrum cingulum,"Narwani et al., 2015",0.4849764,1.74027,0.574623478,98
21,Staurastrum pingue,"Edwards et al., 2016",0.99118565,9.612223011,0.104034207,99
118,Staurastrum punctulatum,"Narwani et al., 2015",0.7275168,1.20967,0.826671737,100
119,Staurastrum tetracerum,"Narwani et al., 2015",0.6708826,1.15508,0.865740901,101
30,Stellarima microtrias,"Edwards et al., 2016",0.700699077,7.268453776,0.137580843,102
60,Synechococcus,"Lewington-Pearce et al., 2019",1.000848457,6.647239877,0.15043838,103
22,Synechocystis minima,"Edwards et al., 2016",2.085485955,2.488159717,0.40190346,104
31,Synedra sp.,"Edwards et al., 2016",0.453932268,8.442572979,0.118447303,105
33,Synura sphagnicola,"Edwards et al., 2016",1.060072658,8.394952008,0.119119204,106
120,Tetraedron minutum,"Narwani et al., 2015",0.6570455,1.63196,0.612760117,107
83,Tetraedron minumum,"Levasseur et al., 2025",0.613946155,4.308361528,0.232106798,107
58,Tetraselmis sp.,"Edwards et al., 2016",0.735381271,6.407447662,0.156068384,108
121,Tetrastrum heteracantum,"Narwani et al., 2015",0.5982583,1.12191,0.891337095,109
42,Thalassiosira curviseriata,"Edwards et al., 2016",1.908828368,1.626322332,0.614884258,110
